lat,lon,value
30.1,156.19999999999965,-4.3674106964511354
30.1,156.29999999999964,-4.362734402536077
30.1,156.39999999999964,-4.3581773655606195
30.1,156.49999999999963,-4.3588686791368474
30.1,156.59999999999962,-4.3613440034628912
30.1,156.69999999999962,-4.361274038311973
30.1,156.7999999999996,-4.3600286068184646
30.1,156.8999999999996,-4.359331212924209
30.1,156.9999999999996,-4.3619956774217608
30.1,157.0999999999996,-4.3671561351935857
30.1,157.1999999999996,-4.3723212533816245
30.1,157.29999999999959,-4.3765455350008571
30.1,157.39999999999958,-4.380831675254834
30.1,157.49999999999957,-4.3874244031906056
30.1,157.59999999999957,-4.3942668585075246
30.1,157.69999999999956,-4.3981149763262373
30.1,157.79999999999956,-4.3969640741454512
30.1,157.89999999999955,-4.3862551233850722
30.1,157.99999999999955,-4.3762587905750001
30.1,158.09999999999954,-4.3737106009236228
30.1,158.19999999999953,-4.3723119752189419
30.1,158.29999999999953,-4.3693994972891881
30.1,158.39999999999952,-4.3630078029324686
30.1,158.49999999999952,-4.3536205426773629
30.1,158.5999999999995,-4.3385407475010815
30.1,158.6999999999995,-4.3195117571560733
30.1,158.7999999999995,-4.3059904082180775
30.1,158.8999999999995,-4.3053778469381854
30.1,158.9999999999995,-4.3161996132135831
30.1,159.09999999999948,-4.3338416674114661
30.1,159.19999999999948,-4.3510533363196675
30.1,159.29999999999947,-4.3649819334038655
30.1,159.39999999999947,-4.3758781378198304
30.1,159.49999999999946,-4.3894265596314836
30.1,159.59999999999945,-4.3991275629281335
30.1,159.69999999999945,-4.3977612425186425
30.1,158.7,-4.3938840328516902
30.1,160,-4.3923017406293248
30.200000000000003,150,-4.3837689803598323
30.200000000000003,150.1,-4.3733347302885708
30.200000000000003,150.2,-4.366037128579797
30.200000000000003,150.29999999999998,-4.3666247870850006
30.200000000000003,150.39999999999998,-4.3702582375271142
30.200000000000003,150.49999999999997,-4.3746025355054066
30.200000000000003,150.59999999999997,-4.3764593205290465
30.200000000000003,150.69999999999996,-4.3772026636228301
30.200000000000003,150.79999999999995,-4.4032433902228902
30.200000000000003,150.89999999999995,-4.4122966733800375
30.200000000000003,150.99999999999994,-4.4006277745224462
30.200000000000003,151.09999999999994,-4.3993803788417125
30.200000000000003,151.19999999999993,-4.4000535369102636
30.200000000000003,151.29999999999993,-4.4006390196034113
30.200000000000003,151.39999999999992,-4.4024378771547337
30.200000000000003,151.49999999999991,-4.4051596839729568
30.200000000000003,151.5999999999999,-4.4035196617934425
30.200000000000003,151.6999999999999,-4.3997298497531716
30.200000000000003,151.7999999999999,-4.3978116372290446
30.200000000000003,151.8999999999999,-4.3992026988318544
30.200000000000003,151.9999999999999,-4.4002857061443814
30.200000000000003,152.09999999999988,-4.3963821663639688
30.200000000000003,152.19999999999987,-4.3889226911429873
30.200000000000003,152.29999999999987,-4.3843538923355263
30.200000000000003,152.39999999999986,-4.3842548251060744
30.200000000000003,152.49999999999986,-4.3875214022897815
30.200000000000003,152.59999999999985,-4.3917095785435247
30.200000000000003,152.69999999999985,-4.3957209147507204
30.200000000000003,152.79999999999984,-4.4003805017802424
30.200000000000003,152.89999999999984,-4.4045752253401602
30.200000000000003,152.99999999999983,-4.4080543490646846
30.200000000000003,153.09999999999982,-4.411942824010012
30.200000000000003,153.19999999999982,-4.4158248235164184
30.200000000000003,153.2999999999998,-4.4193031605985684
30.200000000000003,153.3999999999998,-4.4212682062760926
30.200000000000003,153.4999999999998,-4.4224061592625024
30.200000000000003,153.5999999999998,-4.4222510637958266
30.200000000000003,153.6999999999998,-4.4198335602435197
30.200000000000003,153.79999999999978,-4.4153393399386589
30.200000000000003,153.89999999999978,-4.4110382105219426
30.200000000000003,153.99999999999977,-4.40536535710243
30.200000000000003,154.09999999999977,-4.3989570336054564
30.200000000000003,154.19999999999976,-4.3930948633041993
30.200000000000003,154.29999999999976,-4.38985211823125
30.200000000000003,154.39999999999975,-4.3904335308692284
30.200000000000003,154.49999999999974,-4.3913535575404241
30.200000000000003,154.59999999999974,-4.3892374609844049
30.200000000000003,154.69999999999973,-4.3865099408668158
